season,week,away_team,home_team,away_score,home_score,spread_line,model_spread,model_pick,expected_value,total_line,predicted_total,over_under,ats_result,total_result
2022,15,NYG,WAS,20,12,4.5,WAS -4.0,NYG +4.5,-2.57%,40.5,35.38,Under,win,win
2022,15,PHI,CHI,25,20,-8.5,PHI -8.0,CHI +8.5,-2.85%,48.0,47.48,Under,win,win
2022,15,PIT,CAR,24,16,2.5,CAR -2.0,PIT +2.5,-1.42%,36.5,42.67,Over,win,win
2022,15,SF,SEA,21,13,-3.0,SF -5.0,SF -3.0,5.72%,43.0,50.23,Over,win,loss
2022,15,TEN,LAC,14,17,3.0,LAC -3.0,TEN +3.0,-3.12%,46.5,35.14,Under,push,win
2022,16,ATL,BAL,9,17,6.5,BAL -7.0,BAL -6.5,-1.24%,35.0,28.42,Under,win,win
2022,16,BUF,CHI,35,13,-8.0,BUF -8.5,BUF -8.0,-2.41%,40.0,44.66,Over,win,win
2022,16,CIN,NE,22,18,-3.0,CIN -2.0,NE +3.0,1.96%,42.0,48.31,Over,loss,loss
2022,16,DEN,LA,14,51,-3.0,DEN -1.5,LA +3.0,3.57%,36.5,51.82,Over,win,win
2022,16,DET,CAR,23,37,-2.5,DET -1.5,CAR +2.5,0.11%,43.5,50.43,Over,win,win
2022,16,GB,MIA,26,20,3.5,MIA -3.0,GB +3.5,-0.84%,49.0,50.02,Over,win,loss
2022,16,HOU,TEN,19,14,3.0,TEN -4.5,TEN -3.0,5.04%,34.0,39.3,Over,loss,loss
2022,16,JAX,NYJ,19,3,2.5,NYJ -2.0,JAX +2.5,-2.24%,36.5,34.0,Under,win,win
2022,16,LAC,IND,20,3,-3.5,LAC -3.0,IND +3.5,-3.06%,44.5,43.43,Under,loss,win
2022,16,LV,PIT,10,13,2.5,PIT -2.0,LV +2.5,-1.56%,38.5,33.79,Under,loss,win
2022,16,NO,CLE,17,10,3.0,CLE -3.0,NO +3.0,-3.77%,32.0,33.21,Over,win,loss
2022,16,NYG,MIN,24,27,4.5,MIN -4.5,MIN -4.5,-3.52%,48.0,51.9,Over,loss,win
2022,16,PHI,DAL,34,40,4.0,DAL -3.5,PHI +4.0,-1.95%,48.0,73.04,Over,loss,win
2022,16,SEA,KC,10,24,10.5,KC -10.5,SEA +10.5,-3.99%,50.5,43.14,Under,loss,win
2022,16,TB,ARI,19,16,-7.5,TB -5.0,ARI +7.5,-18.97%,41.5,32.82,Under,win,win
2022,16,WAS,SF,20,37,6.5,SF -8.0,SF -6.5,5.09%,37.5,49.2,Over,win,win
2022,17,ARI,ATL,19,20,7.0,ATL -5.0,ARI +7.0,-21.37%,41.0,35.4,Under,win,win
2022,17,CAR,TB,24,30,3.5,TB -4.0,TB -3.5,-2.69%,40.5,51.9,Over,win,win
2022,17,CHI,DET,10,41,4.5,DET -4.5,CHI +4.5,-3.93%,52.5,43.69,Under,loss,win
2022,17,CLE,WAS,24,10,1.0,WAS -0.5,CLE +1.0,-30.98%,41.5,30.66,Under,win,win
2022,17,DAL,TEN,27,13,-14.0,DAL -11.0,TEN +14.0,-16.88%,41.0,43.23,Over,push,loss
2022,17,DEN,KC,24,27,13.5,KC -13.0,DEN +13.5,-1.63%,46.0,51.91,Over,win,win
2022,17,IND,NYG,10,38,5.5,NYG -5.0,IND +5.5,-29.09%,38.5,43.69,Over,loss,win
2022,17,JAX,HOU,31,3,-3.5,JAX -4.0,JAX -3.5,-2.73%,43.0,44.11,Over,win,loss
2022,17,LA,LAC,10,31,6.5,LAC -4.5,LA +6.5,7.34%,41.5,48.33,Over,loss,loss
2022,17,MIA,NE,21,23,3.0,NE -3.5,NE -3.0,-1.29%,41.5,47.27,Over,loss,win
2022,17,MIN,GB,17,41,3.0,GB -3.5,GB -3.0,-1.52%,47.5,59.22,Over,win,win
2022,17,NO,PHI,20,10,5.5,PHI -6.0,PHI -5.5,-31.04%,41.5,42.67,Over,loss,loss
